Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,USA,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,1.11E+12,1.47E+12,2.18E+12,2.88E+12,1.97E+12,2.34E+12,2.03E+12,2.14E+12,2.53E+12,3.43E+12,3.65E+12,5.18E+12,6.97E+12,9.27E+12,1.23E+13,1.88E+13,2.98E+13,2.09E+13,1.71E+13,1.60E+13,1.91E+13,2.58E+13,3.06E+13,4.29E+13,4.72E+13,3.43E+13,3.60E+13,4.10E+13,3.23E+13,3.32E+13,3.90E+13,4.14E+13,4.21E+13,3.98E+13
China,CHN,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,77528800000,3.08E+11,3.71E+11,2.84E+11,,7.53E+11,4.63E+11,3.38E+11,3.88E+11,5.11E+11,3.92E+11,1.16E+12,6.31E+12,3.91E+12,7.83E+12,8.26E+12,6.67E+12,5.03E+12,7.70E+12,1.20E+13,3.93E+13,1.82E+13,1.72E+13
Japan,JPN,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,60212610000,92171480000,1.03E+11,1.94E+11,1.66E+11,1.80E+11,2.56E+11,1.75E+11,2.72E+11,3.20E+11,4.55E+11,1.16E+12,2.01E+12,2.54E+12,2.61E+12,1.54E+12,1.03E+12,6.06E+11,9.10E+11,1.07E+12,1.14E+12,1.19E+12,1.04E+12,1.05E+12,2.03E+12,2.48E+12,1.70E+12,1.73E+12,2.33E+12,3.46E+12,4.34E+12,5.50E+12,6.59E+12,6.21E+12,3.87E+12,4.27E+12,4.31E+12,3.35E+12,6.08E+12,4.84E+12,5.57E+12,5.23E+12,5.78E+12
"Korea, Rep.",KOR,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,2700000000,1866300000,3617700000,2635550000,2203140000,3768630000,4067180000,11142330000,25866350000,84959278000,1.19E+11,74616040000,82543250000,1.15E+11,2.11E+11,2.87E+11,1.84E+11,1.78E+11,1.71E+11,1.60E+11,7.65E+11,4.95E+11,3.74E+11,5.81E+11,4.57E+11,5.26E+11,1.20E+12,1.34E+12,1.92E+12,1.19E+12,1.69E+12,1.63E+12,1.93E+12,1.58E+12,1.33E+12,1.28E+12,1.84E+12,1.60E+12,2.01E+12
"Hong Kong SAR, China",HKG,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,484000000,646000000,327870000,408440000,1073940000,777050000,,,,,,15316600000,45408110000,23422710000,34582330000,34583770000,38525460000,78452650000,1.32E+11,1.26E+11,95588900000,1.66E+11,4.53E+11,2.06E+11,2.28E+11,3.73E+11,2.38E+11,1.79E+11,2.73E+11,4.04E+11,4.21E+11,7.56E+11,2.02E+12,1.57E+12,1.41E+12,1.49E+12,1.44E+12,1.08E+12,1.27E+12,1.45E+12,2.07E+12,1.35E+12,1.95E+12
Germany,DEU,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,10495060000,10564960000,13172000000,18804000000,14821250000,14148550000,13701440000,14795290000,30886260000,26907560000,85608420000,1.52E+11,4.24E+11,3.45E+11,3.48E+11,5.42E+11,4.38E+11,4.30E+11,5.30E+11,6.04E+11,5.80E+11,1.50E+11,9.88E+11,1.47E+12,1.31E+12,1.83E+12,1.30E+12,8.72E+11,1.02E+12,1.18E+12,1.29E+12,1.95E+12,3.25E+12,4.19E+12,1.79E+12,1.49E+12,1.57E+12,1.25E+12,1.31E+12,1.27E+12,1.44E+12,1.12E+12,1.56E+12
Canada,CAN,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,5208850000,6368860000,6667000000,10159000000,18077390000,27156300000,23686730000,16468200000,28169400000,25308240000,38991270000,57184660000,93254500000,68777140000,89380290000,68125140000,73335290000,75705320000,1.33E+11,1.56E+11,1.83E+11,2.65E+11,3.38E+11,3.57E+11,3.93E+11,6.28E+11,4.46E+11,4.48E+11,5.07E+11,7.06E+11,9.32E+11,1.24E+12,1.75E+12,1.50E+12,1.33E+12,1.40E+12,1.47E+12,1.35E+12,1.32E+12,1.34E+12,1.10E+12,1.15E+12,1.28E+12
India,IND,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72E+11,3.93E+11,4.64E+11,6.52E+11,1.14E+12,9.25E+11,1.09E+12,1.08E+12,6.45E+11,6.16E+11,5.38E+11,7.31E+11,7.72E+11,8.02E+11,1.19E+12
Switzerland,CHE,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,31659000000,43140000000,36001110000,42907390000,69497400000,79167200000,74911900000,,1.27E+11,1.31E+11,2.15E+11,1.31E+11,4.27E+11,3.89E+11,4.14E+11,4.01E+11,73511430000,72399770000,1.87E+11,2.56E+11,3.19E+11,4.15E+11,5.40E+11,6.88E+11,4.65E+11,6.34E+11,5.87E+11,4.91E+11,4.49E+11,43853810000,56648390000,81267490000,1.26E+12,1.41E+12,7.71E+11,8.75E+11,8.28E+11,5.92E+11,7.00E+11,7.34E+11,9.55E+11,8.37E+11,9.48E+11
Australia,AUS,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,1171000000,1340000000,1483000000,883000000,2005310000,4948400000,7788180000,4921550000,9334800000,10108440000,15263050000,22661000000,57498550000,40964150000,43548950000,40186100000,45671250000,42055310000,66719950000,99588430000,98197350000,1.45E+11,1.50E+11,1.56E+11,1.99E+11,2.13E+11,2.41E+11,2.91E+11,4.22E+11,5.45E+11,6.13E+11,8.59E+11,1.37E+12,8.40E+11,8.41E+11,1.13E+12,1.13E+12,9.06E+11,7.88E+11,7.03E+11,7.51E+11,7.95E+11,8.09E+11
