Country,year,trade vol
Japan,2006,5.50E+12
Germany,2006,1.95E+12
"Korea, Rep.",2006,1.34E+12
Canada,2006,1.24E+12
Australia,2006,8.59E+11
"Hong Kong SAR, China",2006,7.56E+11
Norway,2006,2.83E+11
Japan,2007,6.59E+12
Germany,2007,3.25E+12
"Hong Kong SAR, China",2007,2.02E+12
"Korea, Rep.",2007,1.92E+12
Canada,2007,1.75E+12
Australia,2007,1.37E+12
Norway,2007,4.08E+11
Japan,2008,6.21E+12
Germany,2008,4.19E+12
"Hong Kong SAR, China",2008,1.57E+12
Canada,2008,1.50E+12
"Korea, Rep.",2008,1.19E+12
Australia,2008,8.40E+11
Norway,2008,2.72E+11
Japan,2009,3.87E+12
Germany,2009,1.79E+12
"Korea, Rep.",2009,1.69E+12
"Hong Kong SAR, China",2009,1.41E+12
Canada,2009,1.33E+12
Australia,2009,8.41E+11
Norway,2009,2.08E+11
Japan,2010,4.27E+12
"Korea, Rep.",2010,1.63E+12
"Hong Kong SAR, China",2010,1.49E+12
Germany,2010,1.49E+12
Canada,2010,1.40E+12
Australia,2010,1.13E+12
Norway,2010,2.12E+11
Japan,2011,4.31E+12
"Korea, Rep.",2011,1.93E+12
Germany,2011,1.57E+12
Canada,2011,1.47E+12
"Hong Kong SAR, China",2011,1.44E+12
Australia,2011,1.13E+12
Norway,2011,1.85E+11
Japan,2012,3.35E+12
"Korea, Rep.",2012,1.58E+12
Canada,2012,1.35E+12
Germany,2012,1.25E+12
"Hong Kong SAR, China",2012,1.08E+12
Australia,2012,9.06E+11
Norway,2012,1.20E+11
Japan,2013,6.08E+12
"Korea, Rep.",2013,1.33E+12
Canada,2013,1.32E+12
Germany,2013,1.31E+12
"Hong Kong SAR, China",2013,1.27E+12
Australia,2013,7.88E+11
Norway,2013,96531630000
Japan,2014,4.84E+12
"Hong Kong SAR, China",2014,1.45E+12
Canada,2014,1.34E+12
"Korea, Rep.",2014,1.28E+12
Germany,2014,1.27E+12
Australia,2014,7.03E+11
Norway,2014,1.02E+11
Japan,2015,5.57E+12
"Hong Kong SAR, China",2015,2.07E+12
"Korea, Rep.",2015,1.84E+12
Germany,2015,1.44E+12
Canada,2015,1.10E+12
Australia,2015,7.51E+11
Norway,2015,95998950000
Japan,2016,5.23E+12
"Korea, Rep.",2016,1.60E+12
"Hong Kong SAR, China",2016,1.35E+12
Canada,2016,1.15E+12
Germany,2016,1.12E+12
Australia,2016,7.95E+11
Norway,2016,1.05E+11
Japan,2017,5.78E+12
"Korea, Rep.",2017,2.01E+12
"Hong Kong SAR, China",2017,1.95E+12
Germany,2017,1.56E+12
Canada,2017,1.28E+12
Australia,2017,8.09E+11
Norway,2017,1.18E+11
